id,collection,dc.contributor.advisor,dc.contributor.advisor[],dc.contributor.affiliation[-],dc.contributor.author,dc.contributor.author[-],dc.contributor.author[],dc.contributor.author[fr],dc.contributor.author[none],dc.date.issued,dc.date.issued[-],dc.date.issued[],dc.date.issued[en_US],dc.date.issued[fr],dc.date.issued[fr_FR],dc.date.issued[none],dc.description.abstract[en],dc.description.abstract[en_US],dc.description.abstract[fr],dc.description.abstract[fr_FR],dc.description[-],dc.description[en],dc.description[en_US],dc.description[fr],dc.description[fr_FR],dc.format.extent,dc.format.extent[],dc.format.mimetype,dc.format.mimetype[],dc.identifier.citation[-],dc.identifier.citation[],dc.identifier.citation[en],dc.identifier.citation[fr],dc.identifier.citation[none],dc.identifier.doi,dc.identifier.doi[],dc.identifier.issn,dc.identifier.issn[-],dc.identifier.issn[],dc.identifier.uri,dc.identifier.uri[],dc.language.iso[-],dc.language.iso[],dc.language.iso[en],dc.language.iso[en_US],dc.language.iso[fr],dc.language.iso[fr_FR],dc.publisher[],dc.publisher[en],dc.publisher[en_US],dc.publisher[fr],dc.publisher[fr_FR],dc.relation.ispartof[-],dc.relation.ispartof[],dc.relation.ispartof[en],dc.relation.ispartof[en_US],dc.relation.ispartof[fr],dc.relation.ispartofseries,dc.relation.ispartofseries[-],dc.relation.ispartofseries[],dc.rights,dc.rights[-],dc.rights[],dc.source,dc.source[-],dc.source[],dc.source[en_US],dc.source[fr],dc.source[fr_FR],dc.source[none],dc.subject.other[fr],dc.subject[],dc.subject[en],dc.subject[fr],dc.title.alternative[en],dc.title[en],dc.title[en_US],dc.title[fr],dc.title[fr_FR],dc.type[-],dc.type[],dc.type[en],dc.type[en_US],dc.type[fr],dc.type[fr_FR]
19869,2042/21866,,,,,"Viel, Christian||Gouin, Philippe||Louis, Olivier||Alot, Christelle",,,,,,,2008,,,,,"The French central service for flood forecasting (Schapi) is responsible with 22 local services (SPC) for publishing the national vigilance map about flood risk. Since its creation in 2003, it has been working on developing new tools to anticipate risks. In this framework, a test of the Safran-Isba-Modcou's products was conducted in close collaboration with Météo-France. After a preliminary study to identify the most relevant parameters, Schapi developed routine products of interest for flood prediction, based in particular on the soil water contents of Isba. The collaboration is still on-going mainly on risks linked to snow melting and flow forecasting.","Le Schapi, en charge avec les Services de prévision des crues (SPC) de la publication de la vigilance « crues », travaille depuis sa création en 2003 à la mise en place d'outils permettant d'anticiper le risque hydrologique. À ce titre, une expérimentation des produits de la chaîne Safran-Isba-Modcou a été conduite en étroite collaboration avec Météo-France. Après une étude préliminaire d'identification des paramètres les plus pertinents, le Schapi a développé des produits utilisés dorénavant en routine pour la prévision des crues, et basés notamment sur le contenu en eau du sol simulé par le modèle Isba. La collaboration se poursuit en particulier sur le risque associé à la fonte nivale et la prévision de débit.",,,,,,,,489183 bytes,,application/pdf,,,,,,https://doi.org/10.4267/2042/21891,,2107-0830,,,,http://hdl.handle.net/2042/21891,,,,fr,,,,,"Société météorologique de France, Paris (FRA)",,,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,"La Météorologie [ISSN 0026-1181], 2008, Série 8, N° 63 ; p. 46-51",,,,,,hydrométéore||modèle de prévision hydrométéorologique||vent de surface||température de l'air||humidité||nébulosité||rayonnement solaire||visible||infrarouge||précipitation liquide||précipitation cristalline||analyse optimale||interpolation||zonage climatique||altitude||réanalyse||texture du sol||biosphère||bilan radiatif||bilan hydrique||bilan énergétique||manteau neigeux||ruissellement en surface||drainage||nappe phréatique||cours d'eau||débit fluvial||équivalent en eau||sécheresse||crue - risque||carte climatologique||évapotranspiration||géologie||prévision d'écoulement||prévision du climat||variation du climat||données satellitaires,Use of Safran-Isba-Modcou model for flood forecasting,,,Safran-Isba-Modcou (SIM) et la prévision des crues,,,,,Article,,
19870,2042/21866,,,,,,,,,,,,2008,,,,,,,,,,,,,,737703 bytes,,application/pdf,,,,,,https://doi.org/10.4267/2042/21892,,2107-0830,,,,http://hdl.handle.net/2042/21892,,,,fr,,,,,"Société météorologique de France, Paris (FRA)",,,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,"La Météorologie [ISSN 0026-1181], 2008, Série 8, N° 63 ; p. 52-54",,,,,,météorologie||enseignement||thèse universitaire||climatologie||conférence internationale||océanographie||prix scientifique,,,,Prix André Prud'Homme 2009 / Conférences internationales / Concours météo national,,,,,Article,,
19871,2042/21866,,,,,"Barlier, François",,,,,,,2008,,,,,,,,,,,,,99107 bytes,,application/pdf,,,,,,,https://doi.org/10.4267/2042/21893,,2107-0830,,,http://hdl.handle.net/2042/21893,,,,,fr,,,,,"Société météorologique de France, Paris (FRA)",,,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,"La Météorologie [ISSN 0026-1181], 2008, Série 8, N° 63 ; p. 55",,,,,,voyage||océanographie pratique||télédétection satellitaire,,,,"Lu pour vous : ""Michel Lefebvre, marin de l'Espace : Comment un capitaine au long cours devenu astronome a fait bouger l'océan"" Par Yves Garric",,,,,Article,,
19872,2042/21866,,,,,"Juvanon Du Vachat, Regis",,,,,,,2008,,,,,,,,,,,,,,136980 bytes,,application/pdf,,,,,,https://doi.org/10.4267/2042/21894,,2107-0830,,,,http://hdl.handle.net/2042/21894,,,,fr,,,,,"Société météorologique de France, Paris (FRA)",,,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,"La Météorologie [ISSN 0026-1181], 2008, Série 8, N° 63 ; p. 56",,,,,,réchauffement climatique||enquête,,,,"Lu pour vous : ""Marée montante : Enquête sur le réchauffement de la planète"" Par Mark Lynas",,,,,Article,,
19873,2042/21866,,,,,"Javelle, Jean-Pierre",,,,,,,2008,,,,,,,,,,"Météorologie. 100 expériences pour comprendre les phénomènes météo. / Par Yves Corboz. -- Petit dico de la pluie et du beau temps. / Par Frédérique Chevalier. -- Océans et climat, quel avenir ? / Par Éric Guilyardi. -- Planète Blanche. Les glaces, le climat et l'environnement. / Par Jean Jouzel, Claude Lorius et Dominique Raynaud. -- Santé et environnement. / Par William Dab. -- Y'a plus de saison ! Chronique des grandes variations climatiques et phénomènes extrêmes. / Par Guillaume Séchet. -- Le Climat, la bataille et la guerre : des conflits limités aux conflits planétaires. / Par Pierre Pagney. -- Snow and climate. Physical processes, surface energy exchange and modeling. / Sous la direction de Richard L.Armstrong et Éric Brun. -- Atmospheric acoustic remote sensing. / Par Stuart Bradley. -- A pig with six legs and other clouds from the Cloud Appreciation Society. / Sous la direction de Gavin Pretor-Pinney. -- The art and science of lightning protection. / Par Martin A. Uman. -- Comment l'homme a compris que le climat se réchauffe. / Par Juliette Nouel-Rénier. -- Jean-Baptiste Charcot, une épopée scientifique. / Film réalisé par Yves Léonard. -- Weather. / Special Issue « Historical climatology ». -- History of Meteorology. -- Jean-Christophe Raut : Synergie expérimentale impliquant la mesure lidar pour la caractérisation optique et microphysique de l'aérosol : applications à la qualité de l'air et au transfert radiatif. / Thèse de l'université Paris 6 Pierre-et-Marie-Curie. -- Christophe Baehr : Modélisation probabiliste des écoulements atmosphériques turbulents afin d'en filtrer la mesure par approche particulaire. / Thèse de l'université Paul-Sabatier, Toulouse. -- Nadège Montoux : Étude du transport isentrope de la vapeur d'eau dans la haute troposphère et la basse stratosphère. / Thèse de l'université Paris 6 Pierre-et-Marie-Curie. -- Gabrielle Dreyfus : La composition isotopique de l'air piégé dans la glace : interprétation climatique et outil chronologique. / Thèse de l'université Paris 6 Pierre-et-Marie-Curie. -- Aymeric Spiga : Dynamique mésoéchelle de l'atmosphère martienne : développement d'un modèle météorologique et analyse des observations Oméga/Mars Express. / Thèse de l'université Paris 6 Pierre-et-Marie-Curie. -- Aline Govin : Instabilité de la circulation océanique : réponse du climat des hautes latitudes nord et sud aux variations orbitales au cours du dernier Interglaciaire et de la dernière entrée en glaciation (période 130-60 ka). / Thèse de l'université de Versailles Saint-Quentin-en-Yvelines et de l'université de Bergen (Norvège). -- Clément Fesquet : Structure de la turbulence atmosphérique à proximité de la surface. / Thèse de l'École polytechnique, Palaiseau.",,,,554436 bytes,,application/pdf,,,,,,https://doi.org/10.4267/2042/21895,,2107-0830,,,,http://hdl.handle.net/2042/21895,,,,fr,,,,,"Société météorologique de France, Paris (FRA)",,,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,"La Météorologie [ISSN 0026-1181], 2008, Série 8, N° 63 ; p. 57-59",,,,,,bibliographie thématique||consultation scientifique||service météorologique||France||abrégé||climatologie||océanographie||atmosphère||neige||histoire,,,,Vient de paraître,,,,,Article,,
19874,2042/21866,,,,,"Hirsch, Nathalie",,,,,,,2008,,,,,,,,,,,,,,860746 bytes,,application/pdf,,,,,,https://doi.org/10.4267/2042/21896,,2107-0830,,,,http://hdl.handle.net/2042/21896,,,,fr,,,,,"Société météorologique de France, Paris (FRA)",,,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,"La Météorologie [ISSN 0026-1181], 2008, Série 8, N° 63 ; p. 61-62",,,,,,saison||bulletin climatologique||Pacifique sud||trajectoire||'55',,,,Pacifique sud 2007-2008 : Calme des Samoa à la Polynésie française,,,,,Article,,
19875,2042/21866,,,,,,,,,,,,2008,,,,,,,,,,,,,1163437 bytes,,application/pdf,,,,,,,https://doi.org/10.4267/2042/21897,,2107-0830,,,http://hdl.handle.net/2042/21897,,,,,fr,,,,,"Société météorologique de France, Paris (FRA)",,,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,"La Météorologie [ISSN 0026-1181], 2008, Série 8, N° 63 ; p. 63-65",,,,,,climatologie||température de l'air,,,,Résumé climatique - Avril 2008,,,,,Article,,
19876,2042/21866,,,,,,,,,,,,2008,,,,,,,,,,,,,1345353 bytes,,application/pdf,,,,,,,https://doi.org/10.4267/2042/21898,,2107-0830,,,http://hdl.handle.net/2042/21898,,,,,fr,,,,,"Société météorologique de France, Paris (FRA)",,,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,"La Météorologie [ISSN 0026-1181], 2008, Série 8, N° 63 ; p. 66-68",,,,,,climatologie||température de l'air,,,,Résumé climatique - Mai 2008,,,,,Article,,
19877,2042/21866,,,,,,,,,,,,2008,,,,,,,,,,,,,1297182 bytes,,application/pdf,,,,,,,https://doi.org/10.4267/2042/21899,,2107-0830,,,http://hdl.handle.net/2042/21899,,,,,fr,,,,,"Société météorologique de France, Paris (FRA)",,,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,"La Météorologie [ISSN 0026-1181], 2008, Série 8, N° 63 ; p. 69-71",,,,,,climatologie||température de l'air,,,,Résumé climatique - Juin 2008,,,,,Article,,
21255,2042/23407,,,,,,,,,,,2009-03-24T09:49:11Z,,,,,,,,,,Un groupe de sprites (colonne et méduse) au-dessus d'un orage le 12 mai 2008 dans la région d'Angoulème vu depuis Lannemezan (distance 300 km environ).,,,,,648106 bytes,,image/gif,,,,,,,,2107-0830,,,,http://hdl.handle.net/2042/23620,,,fr,,,,,,,,,,,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,,,,,,,Sprite,,,,,,Video,,,
21256,2042/23407,,,,,,,,,,,2009-03-24T09:51:40Z,,,,,,,,,,Un elve suivi d'un sprite au-dessus d'un orage à l'ouest de la Corse le 16 novembre 2007 vu depuis Lannemezan (distance 600 km environ).,,,,,630700 bytes,,image/gif,,,,,,,,2107-0830,,,,http://hdl.handle.net/2042/23621,,,fr,,,,,,,,,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,,,,,,,,,Elve et sprite,,,,,,Video,,,
21257,2042/23407,,,,,,,,,,,2009-03-24T09:53:13Z,,,,,,,,,,Sprites avec halo au-dessus d'un orage dans le Sud-Ouest le 12 septembre 2006 vu depuis le Mont-Aigoual (distance 350 km environ).,,,,,392476 bytes,,image/gif,,,,,,,,2107-0830,,,,http://hdl.handle.net/2042/23622,,,fr,,,,,,,,,,,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,,,,,,,Halo et sprites,,,,,,Video,,,
21259,2042/23407,,,,,,,,,,,2009-03-24T10:15:11Z,,,,,,,,,,"TLE en reconstitution colorée, voir légende figure 3, (© Danish National Space Center).",,,,,6068736 bytes,,image/gif,,,,,,,,2107-0830,,,,http://hdl.handle.net/2042/23623,,,fr,,,,,,,,,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,,,,,,,,,TLE,,,,,,Video,,,
21260,2042/23407,,,,,"Bauer, Pierre",,,,,,,2009,,,,,,,,,,,,,,96895 bytes,,application/pdf,,,,,,https://doi.org/10.4267/2042/23624,,2107-0830,,,,http://hdl.handle.net/2042/23624,,,,fr,,,,,"Société météorologique de France, Paris (FRA)",,,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,"La Météorologie [ISSN 0026-1181], 2009, Série 8, N° 64 ; p. 1",,,,,,atmosphère||physique de l'atmosphère||troposphère||réchauffement climatique||électricité atmosphérique||phénomène optique||convection||montagne||variation du climat||préservation de l'environnement||diffusion scientifique,,,,Editorial,,,,,Article,,
21261,2042/23407,,,,,"Guillaume, Anne",,,,,,,2009,,,,,,,,,,"Gaz à effet de serre dans l?atmosphère, de nouveaux records en 2007. -- La glaciologie française à l?honneur. -- La conférence Climat des Nations unies à Poznan / Par Régis Juvanon du Vachat et Marc Gillet. -- Les simulations climatiques pour le prochain rapport du Giec de 2013. -- Le climat à la Ville européenne des sciences. -- À tempête exceptionnelle, prévision exceptionnelle ! / Par Michel Hontarrède.",,,,1190042 bytes,,application/pdf,,,,,,https://doi.org/10.4267/2042/23625,,2107-0830,,,,http://hdl.handle.net/2042/23625,,,,fr,,,,,"Société météorologique de France, Paris (FRA)",,,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,"La Météorologie [ISSN 0026-1181], 2009, Série 8, N° 64 ; p. 2-7",,,,,,climatologie||dynamique du climat||modèle climatique||réchauffement climatique||pollution atmosphérique||CO2||oxyde nitreux||méthane||surveillance du climat||forçage||préservation de l'environnement||influence des activités humaines||carotte glaciaire||glaciologie||région polaire||corrélations||hypothèse de modélisation||rétroaction||nuage||précipitations||tempête||D.P.A France Sud-Ouest||étude d'événement particulier||trajectoire||prévision courte échéance||vent fort||rafale||valeur extrême||protection civile||D.P.A France Sud-Est||évaluation des prévisions,,,,Echos,,,,,Article,,
21262,2042/23407,,,,,"Donguy, Patrick||Harang, Loïc",,,,,,,2009,,,,,,,,,,,,,,720176 bytes,,application/pdf,,,,,,https://doi.org/10.4267/2042/23626,,2107-0830,,,,http://hdl.handle.net/2042/23626,,,,fr,,,,,"Société météorologique de France, Paris (FRA)",,,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,"La Météorologie [ISSN 0026-1181], 2009, Série 8, N° 64 ; p. 8-9",,,,,,observation météorologique||météorologie tropicale||ZCIT||circulation générale||cumulonimbus||ligne de grains||imagerie satellitaire,,,,La zone de convergencence intertropicale et ses esquisses nuageuses - Juillet 2008,,,,,Image,,
21263,2042/23407,,,,,"Donguy, Patrick||Harang, Loïc",,,,,,,2009,,,,,,,,,,,,,,805860 bytes,,application/pdf,,,,,,https://doi.org/10.4267/2042/23627,,2107-0830,,,,http://hdl.handle.net/2042/23627,,,,fr,,,,,"Société météorologique de France, Paris (FRA)",,,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,"La Météorologie [ISSN 0026-1181], 2009, Série 8, N° 64 ; p. 10-11",,,,,,phénomène optique||mouvement orbital de la lune||mouvement de la terre||éclipse de soleil||mouvement apparent du soleil||D.P.A Nord Amérique du Nord||D.P.A Chine Nord-Ouest||image satellitaire,,,,Éclipse totale du Soleil - Août 2008,,,,Image,,,
21264,2042/23407,,,,,"Donguy, Patrick||Harang, Loïc",,,,,,,2009,,,,,,,,,,,,,,830420 bytes,,application/pdf,,,,,,https://doi.org/10.4267/2042/23628,,2107-0830,,,,http://hdl.handle.net/2042/23628,,,,fr,,,,,"Société météorologique de France, Paris (FRA)",,,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,"La Météorologie [ISSN 0026-1181], 2009, Série 8, N° 64 ; p. 12-13",,,,,,observation météorologique||image satellitaire||météorologie tropicale||cyclone tropical||Taiwan||dégâts dus aux inondations||dégâts dus au vent||incidence humaine||golfe du Mexique||Cuba||Aisne - Dép.||incidence sur l'homme,,,,"Orages, ouragan - et typhon - Septembre 2008",,,,,Image,,
21265,2042/23407,,,,,"Daudier, Morgane||Vannier, Christian",,,,,,,2009,,,,,,,,,,,,,,1099597 bytes,,application/pdf,,,,,,https://doi.org/10.4267/2042/23629,,2107-0830,,,,http://hdl.handle.net/2042/23629,,,,fr,,,,,"Société météorologique de France, Paris (FRA)",,,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,"La Météorologie [ISSN 0026-1181], 2009, Série 8, N° 64 ; p. 14-17",,,,,,météorologie||montagne||prévision||neige||assistance||avalanche||hydrométéorologie||glaciologie||fonte des glaciers||calotte glaciaire||réchauffement climatique||désertification||irrigation||pompe,,,,Forum international de la météo : La cinquième édition accueillie à Bruxelles,,,,,Article,,
21266,2042/23407,,,,,"Daudier, Morgane||Vannier, Christian",,,,,,,2009,,,,,,,,,,,,,,346307 bytes,,application/pdf,,,,,,https://doi.org/10.4267/2042/23630,,2107-0830,,,,http://hdl.handle.net/2042/23630,,,,fr,,,,,"Société météorologique de France, Paris (FRA)",,,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,"La Météorologie [ISSN 0026-1181], 2009, Série 8, N° 64 ; p. 18-19",,,,,,impact||réchauffement climatique||variation du climat||fonte des glaciers||glaciologie||météorologie||hydrologie||prévision||assistance à la protection civile||avalanche||banquise||absorption||physique du rayonnement||imagerie satellitaire||système solaire,,,,Les 11es Rencontres météo montagne d'Alpe-d'Huez,,,,,Article,,
21267,2042/23407,,,,,"Soula, Serge||Van der Velde, Oscar",,,,,,,2009,,,,,"TLEs (Transient Luminous Events) are luminous events occurring above thunderstorms up to the base of the ionosphere. At a global scale, the most frequent are the elves, luminous rings of several tens of km in diameter at a 90 km altitude. They generally occur above oceanic and coastal thunderstorms. Sprites are the most often observed with cameras at the ground, occurring above stratiform areas of Mesoscale Convective Systems storms. With varied shape, structure and size, they generate spectacular nocturnal light emissions. They are produced some milliseconds after a cloud-to-ground lightning flash, positive in most cases and negative in some rare cases. At our latitude, a storm can produce several tens of them, rather at the end of its lifetime when the flashes are not frequent, but powerful. This article goes back over the discovery of TLEs, moves to their scientific description and details the physics behind their generation. Pratical advises are given to observing and recording them as well.","Les phénomènes lumineux transitoires, TLE (de l'anglais « Transient Luminous Events »), constituent un ensemble de phénomènes lumineux qui se produisent au-dessus de certains orages jusqu'à la base de l'ionosphère pour les plus élevés. À l'échelle mondiale, les plus fréquents sont les elves, sortes d'anneaux lumineux de 100 à 300 km de diamètre à 90 km d'altitude, qui se produisent plutôt au-dessus des orages océaniques et côtiers. Les sprites sont les plus couramment observés avec des caméras au sol, au-dessus des régions stratiformes des orages de moyenne échelle. De forme, de structure et de taille diverses, ils génèrent des émissions de lumière nocturne spectaculaires. Ils sont produits quelques millisecondes après un éclair nuage-sol, positif dans la plupart des cas ou négatif dans quelques rares conditions. À nos latitudes, un orage peut en produire plusieurs dizaines, plutôt en fin de vie lorsque les éclairs sont moins fréquents, mais pas moins puissants. Cet article revient sur la découverte des TLE, aborde leur description scientifique et détaille les mécanismes physiques qui les génèrent. Il donne aussi des conseils pratiques pour les observer et les enregistrer.",,,,,,,,1271794 bytes,,application/pdf,,,,,,https://doi.org/10.4267/2042/23631,,2107-0830,,,,http://hdl.handle.net/2042/23631,,,,fr,,,,,"Société météorologique de France, Paris (FRA)",,,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,"La Météorologie [ISSN 0026-1181], 2009, Série 8, N° 64 ; p. 20-31",,,,,,phénomène optique||physique de l'atmosphère||troposphère||ionosphère||cumulonimbus||orage||courant électrique atmosphérique||éclair||rayonnement dû aux décharges||électrométéore||physique du rayonnement||décharge électrique||électromagnétisme||chimie de l'atmosphère||conditions atmosphériques||convection,Transient Luminous Events (TLEs) above thunderstorms: observation and conditions of production,,,Phénomènes lumineux transitoires au-dessus des orages : observation et conditions de production,,,,,Article,,
21268,2042/23407,,,,,"Richard, E.||Flamant, C.||Bouttier, F.||Van Baelen, J.||Champollion, C||Argence, S.||Arnault, J.||Barthlott, C.||Behrendt, A.||Bosser, P.||Brousseau, P.||Chaboureau, Jean-Pierre||Corsmeier, U.||Cuesta, J.||Di Girolamo, P.||Hagen, M.||Kottmeier, C.||Limnaios, P.||Masson, F.||Pigeon, G.||Pointin, Y.||Tridon, F.||Seity, Y.||Wulfmeyer, V.",,,,,,,2009,,,,,"The Convective and Orographicallyinduced Precipitation Study (COPS) is a coordinated international project, comprised of an observational field campaign and a research programme aiming to advance the quality of forecasts of orographically-induced precipitation by four-dimensional observations and modelling of its life cycle. The COPS field campaign took place during June-July-August 2007 over eastern France and south-western Germany. Its main objective was to provide an unprecedented comprehensive set of in situ and remotely-sensed meteorological observations of the entire depth of the troposphere. After a short overview of the project, the paper focuses on the French contribution to the COPS field phase, describes the experimental setup and highlights some key observations.","L'étude des précipitations convectives induites par l'orographie (Cops selon l'acronyme anglais) est un projet international coordonné qui comprend une campagne d'observations de terrain et un programme scientifique et qui vise à améliorer la qualité des prévisions des précipitations orographiques convectives à la fois par l'observation quadridimensionnelle et la modélisation de leur cycle de vie. La campagne de terrain s'est déroulée en juin-juillet-août 2007 sur l'est de la France et le sud-ouest de l'Allemagne. Son objectif majeur était de fournir un jeu d'observations météorologiques, in situ et à distance, aussi complet que possible et sur toute la profondeur de la colonne troposphérique. Après une brève revue d?ensemble du projet, l'article se concentre sur la contribution française à la campagne Cops, décrit le dispositif expérimental mis en oeuvre et met en valeur quelques observations clés.",,,,,,,,1324446 bytes,,application/pdf,,,,,,https://doi.org/10.4267/2042/23632,,2107-0830,,,,http://hdl.handle.net/2042/23632,,,,fr,,,,,"Société météorologique de France, Paris (FRA)",,,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,"La Météorologie [ISSN 0026-1181], 2009, Série 8, N° 64 ; p. 32-42",,,,,,observation météorologique||campagne de mesure||prévision||quantité des précipitations||convection||Vosges - Dép.||Jura||Allemagne||données radar||radar bande c||radar Doppler||aérosol||hydrométéore||petite échelle||système gps||avion météorologique||troposphère||bilan énergétique||bilan hydrique||modèle de prévision hydrométéorologique||modèle de convection||vapeur d'eau||humidité,The COPS field experiment: initiation and life cycle of convection in mountainous area,,,La campagne Cops : genèse et cycle de vie de la convection en région montagneuse,,,Article,,,,
21269,2042/23407,,,,,"Le Roy Ladurie, Emmanuel||Rousseau, Daniel",,,,,,,2009,,,,,"We have used historical data, demographers? estimates and various meteorological measurements to identify and to comment the most intense climatic anomalies, the ones that had visible consequences on French mortality. We were particularly interested in severe winters and heat waves and their direct consequences on human mortality. We have also looked at indirect effects such as weather unfavourable to cereal harvests causing mortality through grain scarcity, famines and collateral epidemics due to malnourishment. For the period before 1850 we have only considered mortalities above 100,000 persons. For the period 1850 to 2007, monthly meteorological and demographic data were available and so we obtained a more precise relationship between fluctuation of temperatures and mortality. All winters and some severe heat waves are still responsible for yearly excesses of mortality greater than 10,000 people.","Grâce aux témoignages historiques, aux estimations des démographes et à des mesures météorologiques éparses, les principales anomalies climatiques intenses depuis 1680 ayant eu des conséquences sur la mortalité française sont identifiées et commentées. De grands froids et des canicules, par leurs effets directs, mais aussi des conditions météorologiques défavorables aux récoltes et des étés très chauds et secs favorables aux épidémies ont été à l'origine d'excédents de décès durant l'Ancien Régime pouvant dépasser 100 000 victimes et allant même jusqu'à 1 300 000 lors des famines de 1693-1694. Pour le XXe siècle et le début du XXIe, grâce aux données météorologiques et démographiques mensuelles pour l'ensemble de la France, les relations entre les fluctuations des températures et celles des décès peuvent être mises en évidence plus précisément. Tous les hivers et occasionnellement des canicules exceptionnelles sont encore responsables d'excédents de décès dépassant la dizaine de milliers.",,,,,,,,335841 bytes,,application/pdf,,,,,,https://doi.org/10.4267/2042/23633,,2107-0830,,,,http://hdl.handle.net/2042/23633,,,,fr,,,,,"Société météorologique de France, Paris (FRA)",,,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,"La Météorologie [ISSN 0026-1181], 2009, Série 8, N° 64 ; p. 43-53",,,,,,impact||climatologie||incidence humaine||valeur extrême||vague de froid||vague de chaleur||tempête||précipitations excessives||inondation - risque||épidémie||accident du au temps||mort par maladie||incidence sur le végétal||récolte||incidence sur l'animal||élevage||incidence sur l'homme||révolution||histoire de france||climatologie historique||record climatique||statistique||analyse statistique,Climatic impact on mortality in France from 1680 up to now,,,"Impact du climat sur la mortalité en France, de 1680 à l'époque actuelle",,,,,Article,,
