MF_CATEGORIE;DOC_TITRE;DOC_PER_NUMERO;DOC_AN_EDIT;FT_CID;FT_SFNAME;;URL directe du fichier
Met Mar;Met Mar n°133 - 4ème trimestre 1986;133;1986;237155;doc00026975__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237155/doc00026975__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237155/doc00026975__PDF.txt
Met Mar;Met Mar n°134 - 1er trimestre 1987;134;1987;237154;doc00026974__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237154/doc00026974__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237154/doc00026974__PDF.txt
Met Mar;Met Mar n°135 - 2ème trimestre 1987;135;1987;237153;doc00026973__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237153/doc00026973__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237153/doc00026973__PDF.txt
Met Mar;Met Mar n°136 - 3ème trimestre 1987;136;1987;237152;doc00026972__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237152/doc00026972__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237152/doc00026972__PDF.txt
Met Mar;Met Mar n°137 - 4ème trimestre 1987;137;1987;237151;doc00026971__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237151/doc00026971__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237151/doc00026971__PDF.txt
Met Mar;Met Mar n°138 - 1er trimestre 1988;138;1988;237150;doc00026970__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237150/doc00026970__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237150/doc00026970__PDF.txt
Met Mar;Met Mar n°139 - 2ème trimestre 1988;139;1988;237149;doc00026969__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237149/doc00026969__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237149/doc00026969__PDF.txt
Met Mar;Met Mar n°140 - 3ème trimestre 1988;140;1988;237146;doc00026966__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237146/doc00026966__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237146/doc00026966__PDF.txt
Met Mar;Met Mar n°141 - 4ème trimestre 1988;141;1988;235715;doc00025320__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235715/doc00025320__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235715/doc00025320__PDF.txt
Met Mar;Met Mar n°142 - 1er trimestre 1989;142;1989;235713;doc00025317__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235713/doc00025317__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/235713/doc00025317__PDF.txt
